"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"ISG15","0.2237762","0.1056673","0.1896801","0.1082857","0.2244496","0.1266376","0.6854396","0.5435816","ISG15"
"SDF4","0.3339161","0.2522852","0.4423117","0.2022144","0.4408478","0.5204446","0.1758242","0.2393027","SDF4"
"AURKAIP1","2.069930","1.528702","2.931889","1.232510","2.247782","2.175069","2.101648","1.220285","AURKAIP1"
"MRPL20","1.2167832","1.0745887","1.9162023","0.8204161","1.5714755","1.4204049","0.9574176","0.7496038","MRPL20"
"SSU72","1.4562937","1.3148080","2.0043344","0.9718944","2.0609596","1.6720921","1.0645604","0.9413629","SSU72"
"GNB1","0.8269231","0.9627057","0.9896801","0.4257209","0.9631942","0.7213180","0.2170330","0.5562599","GNB1"
"FAAP20","1.368881","1.012797","1.797936","0.800949","2.120933","1.686780","0.771978","1.158479","FAAP20"
"FAM213B","0.15559441","0.14040219","0.18101135","0.10451393","0.16891226","0.12743152","0.03296703","0.11885895","FAM213B"
"TPRG1L","0.07692308","0.08263254","0.07781218","0.04696435","0.10992442","0.08813021","0.11950549","0.05388273","TPRG1L"
"SMIM1","0.13986014","0.08263254","0.89680083","0.19430588","0.26109103","0.25486304","2.69093407","0.04912837","SMIM1"
"RPL22","13.461538"," 8.380622","12.874510"," 7.166200","14.439862","11.515284","12.189560"," 7.448494","RPL22"
"CAMTA1","1.7569930","1.4274223","2.2724458","1.0761650","2.0552087","1.3231441","0.8173077","1.0538827","CAMTA1"
"PARK7","2.470280","1.919561","3.788029","1.564789","3.385475","3.300516","1.673077","1.491284","PARK7"
"ENO1","2.438811","2.509689","5.560578","2.738289","3.849655","4.917428","3.412088","2.359746","ENO1"
"CLSTN1","0.2762238","0.3118830","0.3465428","0.2104879","0.3754519","0.1778484","0.0728022","0.1473851","CLSTN1"
"CASP9","0.03496503","0.04460695","0.05593395","0.02615890","0.06194545","0.06431123","0.03571429","0.02377179","CASP9"
"MFAP2","0.5087413","0.5447898","1.4185759","0.6719796","1.9260598","1.5156808","0.1483516","0.3518225","MFAP2"
"CAPZB","1.3339161","0.9747715","1.4092879","0.6269619","1.3723299","1.5633188","0.6565934","1.1901743","CAPZB"
