Ensembl_ID,Gene_symbol
ENSG00000002822,MAD1L1
ENSG00000036257,CUL3
ENSG00000037749,MFAP3
ENSG00000060069,CTDP1
ENSG00000067082,KLF6
ENSG00000070366,SMG6
ENSG00000081189,MEF2C
ENSG00000100393,EP300
ENSG00000104885,DOT1L
ENSG00000105866,SP4
ENSG00000105926,MPP6
ENSG00000108953,YWHAE
ENSG00000114861,FOXP1
ENSG00000115392,FANCL
ENSG00000115844,DLX2
ENSG00000116127,ALMS1
ENSG00000116852,KIF21B
ENSG00000117020,AKT3
ENSG00000117569,PTBP2
ENSG00000118007,STAG1
ENSG00000118946,PCDH17
ENSG00000119042,SATB2
ENSG00000119772,DNMT3A
ENSG00000120658,ENOX1
ENSG00000121621,KIF18A
ENSG00000122778,KIAA1549
ENSG00000127152,BCL11B
ENSG00000127903,ZNF835
ENSG00000130449,ZSWIM6
ENSG00000131558,EXOC4
ENSG00000133107,TRPC4
ENSG00000135638,EMX1
ENSG00000135870,RC3H1
ENSG00000136828,RALGPS1
ENSG00000137075,RNF38
ENSG00000137601,NEK1
ENSG00000139746,RBM26
ENSG00000142599,RERE
ENSG00000142949,PTPRF
ENSG00000143614,GATAD2B
ENSG00000147548,WHSC1L1
ENSG00000150625,GPM6A
ENSG00000153707,PTPRD
ENSG00000154822,PLCL2
ENSG00000155090,KLF10
ENSG00000156103,MMP16
ENSG00000157837,SPPL3
ENSG00000160563,MED27
ENSG00000162702,ZNF281
ENSG00000163635,ATXN7
ENSG00000164199,GPR98
ENSG00000166886,NAB2
ENSG00000167491,GATAD2A
ENSG00000169554,ZEB2
ENSG00000170396,ZNF804A
ENSG00000175727,MLXIP
ENSG00000180530,NRIP1
ENSG00000180828,BHLHE22
ENSG00000184304,PRKD1
ENSG00000186487,MYT1L
ENSG00000186868,MAPT
ENSG00000187323,DCC
ENSG00000188107,EYS
ENSG00000196422,PPP1R26
ENSG00000196628,TCF4
ENSG00000197157,SND1
ENSG00000197933,ZNF823
ENSG00000250091,DNAH10OS
