"Table S8 | List of DEGs (|log2FC| > 0.585 and FDR < 0.01) between DT1_A and DT1_U in 35-day-old organoids. FC, fold change; CPM, counts per million; LR, likelihood ratio statistics; FDR, false discovery rate; CV, coefficient of variation.",,,,,,,,,
Gene_name,Log2FC,Log2CPM,LR,p-value,FDR,Means_DT1_A,CV_DT1_A,Means_DT1_U,CV_DT1_U
FGFBP3,-2.265374864,9.981977469,591.5651323,1.14E-130,2.00E-126,1.778414325,109.9671105,3.160778484,68.71734744
SMOC1,-2.038978512,7.626112663,309.779099,2.44E-69,4.25E-66,0.332877172,243.9204651,0.80110756,147.4885288
FOXB1,-1.97126527,7.47113521,376.7669224,6.29E-84,2.19E-80,0.227572423,269.343862,0.599952123,151.4615214
RARRES2,-1.871755773,7.415833811,360.7547587,1.93E-80,6.12E-77,0.1747075,294.3336171,0.530616455,163.6416131
COL2A1,-1.788885928,7.74799184,360.1285998,2.64E-80,7.67E-77,0.474590198,198.7139284,0.964814034,114.9829484
SOX3,-1.709030176,8.136920213,295.631397,2.95E-66,4.11E-63,0.712055553,162.557113,1.340501855,104.9807953
SOX21,-1.663054885,7.657138875,269.9271133,1.18E-60,1.37E-57,0.411930834,203.4307037,0.818482274,127.7427963
SALL4,-1.655620966,7.454015511,333.7063525,1.50E-74,3.27E-71,0.230308228,242.6769538,0.584170797,142.1275807
GREB1,-1.653926536,7.782899293,487.203702,5.78E-108,4.13E-104,0.482122847,166.3491614,1.095408822,94.01294374
EN1,-1.641923192,7.326127328,266.4770264,6.65E-60,7.25E-57,0.086177397,477.2480992,0.378134372,217.9872456
HS3ST3B1,-1.639108156,7.458519822,311.9245107,8.32E-70,1.53E-66,0.257310632,245.1124728,0.580051284,143.286033
FST,-1.63589193,7.397597724,236.9673462,1.80E-53,1.50E-50,0.217394427,309.4961458,0.498967162,183.6456191
LITAF,-1.628434667,7.962733231,346.3611436,2.63E-77,6.55E-74,0.627150302,161.5818301,1.253555548,102.4410413
LINC01021,-1.619822049,7.593218478,272.6763483,2.96E-61,3.56E-58,0.353505521,216.9894674,0.781238863,133.9882026
EN2,-1.598676522,7.719005565,273.9655783,1.55E-61,1.93E-58,0.429389895,185.3007987,0.947463713,125.4718817
PAX5,-1.526557996,7.318764969,183.5552,8.11E-42,3.49E-39,0.097255121,456.2862373,0.351520135,248.5627016
PGM5,-1.524857312,7.406465168,186.4025706,1.94E-42,8.67E-40,0.223592285,272.0683968,0.475415377,181.2030021
PCSK9,-1.481492458,7.33757871,194.8369813,2.80E-44,1.43E-41,0.148537746,347.6293267,0.382165407,209.3483899
NTN1,-1.471442987,7.408404892,223.2202217,1.79E-50,1.18E-47,0.230272507,273.4141394,0.527331137,171.9443065
OTX1,-1.455686675,7.580723691,196.5843149,1.16E-44,6.14E-42,0.380096845,208.0399146,0.723529369,140.5089876
AC009403.2,-1.406579931,7.379647733,225.2934958,6.34E-51,4.26E-48,0.172117738,257.8059418,0.473783792,170.2700712
SALL1,-1.366859771,7.644683343,250.063256,2.52E-56,2.25E-53,0.451335487,188.7912014,0.815671684,118.008408
PAPPA,-1.363209851,7.321728836,161.961741,4.22E-37,1.44E-34,0.144275517,365.2416127,0.349410489,229.1252404
LINC01158,-1.340417145,8.486978883,475.8112383,1.74E-105,8.68E-102,1.130187169,104.1230109,1.968456512,62.47855799
TRIM71,-1.337439399,7.511018559,306.8690315,1.05E-68,1.67E-65,0.306020214,203.4669242,0.653782228,117.6888444
AC099489.1,-1.330728438,7.297662561,217.2717132,3.56E-49,2.26E-46,0.069402049,516.617868,0.318174584,233.128541
FAM181A,-1.30101454,7.680995735,192.5036486,9.03E-44,4.44E-41,0.467427444,181.4197671,0.831936259,126.3149275
SP9,-1.296388736,7.350604197,154.510762,1.79E-35,5.12E-33,0.187194133,292.3720315,0.394562073,196.8137371
CCND1,-1.270181559,8.516956619,204.5970201,2.07E-46,1.19E-43,1.129822848,129.3100836,1.793584098,88.9180366
IGDCC3,-1.265348242,9.211540775,481.7782772,8.77E-107,5.10E-103,1.864870814,73.72263331,2.815876248,51.62465264
NKX6-1,-1.259738902,7.293176602,160.4822935,8.88E-37,2.95E-34,0.096848551,535.1155958,0.303230556,265.669951
PDLIM3,-1.255677699,7.613817211,173.1422601,1.52E-39,6.04E-37,0.451194175,196.8153025,0.752969814,131.277048
TOP2A,-1.216943784,7.607184204,70.07881996,5.70E-17,4.05E-15,0.486101919,248.7442816,0.706612569,191.1435663
VEPH1,-1.216750936,7.37449782,198.1132618,5.39E-45,2.89E-42,0.203751652,248.538762,0.416855972,159.5828851
WNT7A,-1.198010559,7.586214633,225.7044886,5.15E-51,3.60E-48,0.396016803,183.0169196,0.753178778,116.3116616
AURKB,-1.196075831,7.405941948,69.77071342,6.66E-17,4.71E-15,0.274422483,293.4311796,0.443824816,220.43871
ASCL1,-1.187498557,7.966044963,114.5844145,9.70E-27,1.51E-24,0.763352814,174.2670862,1.156320668,125.5761302
IRX3,-1.180568914,8.079378083,261.154372,9.61E-59,9.86E-56,0.81142403,130.5280616,1.372299092,84.76189888
LINC01102,-1.159199445,7.322485261,190.0791581,3.06E-43,1.46E-40,0.142737031,285.4271513,0.310154102,184.5394151
GATA3,-1.154655737,7.295455446,28.93173076,7.50E-08,1.76E-06,0.128887794,497.3663834,0.228907859,383.8392813
HMGB2,-1.143342877,8.34864279,120.6320482,4.60E-28,8.06E-26,1.136792895,146.4176118,1.607348886,112.6740421
FOSB,-1.135303223,7.988820364,89.88211964,2.53E-21,2.49E-19,0.723178025,175.2439263,1.062659378,130.4623368
SFRP2,-1.133280673,8.002659693,160.1879587,1.03E-36,3.39E-34,0.786806956,157.4176775,1.213887063,103.4343307
CAMKV,-1.116051193,7.61532438,232.152107,2.02E-52,1.53E-49,0.422931416,161.8245817,0.804852669,106.9987414
RBPMS,-1.111631397,7.351041204,166.4555175,4.40E-38,1.60E-35,0.180837436,253.3683333,0.36693918,174.7525754
EFNA5,-1.103786894,7.593007691,187.3786656,1.19E-42,5.52E-40,0.404264312,175.9923065,0.763726863,122.8142043
PTPRZ1,-1.099437237,8.340651741,203.5371314,3.53E-46,1.99E-43,1.05094229,119.0434011,1.630916352,83.71353494
AC024940.1,-1.098922794,7.304227878,163.7735916,1.70E-37,5.97E-35,0.122618601,327.7026634,0.297398397,210.8279369
MKI67,-1.096762954,7.52560338,55.40903317,9.79E-14,5.10E-12,0.415224329,253.4925293,0.577278085,202.5756995
BIRC5,-1.089262537,7.619256349,57.21904941,3.90E-14,2.09E-12,0.467804801,228.4230508,0.653136808,182.2078164
BCHE,-1.088878757,7.468677625,186.9921262,1.44E-42,6.53E-40,0.289367733,202.6007527,0.566133955,131.4197239
VIM,-1.087525119,11.59233457,178.2432904,1.17E-40,4.81E-38,3.3905977,74.48492189,4.625768539,50.9298591
ANOS1,-1.060801502,7.299984276,153.4668821,3.03E-35,8.52E-33,0.134177641,328.0187704,0.273748965,207.4431513
TYMS,-1.056275615,8.127736667,79.78926768,4.17E-19,3.56E-17,0.858843918,165.9178179,1.205944465,127.1954462
PBK,-1.054130371,7.420208081,49.5191904,1.96E-12,8.68E-11,0.288821374,282.4664788,0.443447492,223.2238178
UBE2C,-1.048726914,7.487920734,58.33874041,2.21E-14,1.22E-12,0.404615925,270.0333094,0.596324733,209.2280695
IRX5,-1.030016921,7.95454477,214.7386984,1.27E-48,7.91E-46,0.746434119,128.6424361,1.222468675,88.10562328
HES5,-1.027716046,8.636274807,74.30319163,6.70E-18,5.17E-16,1.108614389,150.5985565,1.611493965,108.6851432
NUSAP1,-1.025796915,7.622851845,58.57639768,1.96E-14,1.09E-12,0.509383812,223.3836675,0.705167963,176.3792133
FAM181B,-1.023469195,7.585494837,101.1674414,8.45E-24,1.05E-21,0.444922215,194.5986977,0.688950767,144.5738775
DUSP6,-1.022983505,7.470606981,123.5280603,1.07E-28,1.96E-26,0.324953202,219.6585645,0.550525701,151.1051405
LRRC17,-1.020361585,7.452908541,125.103467,4.83E-29,9.21E-27,0.307718889,226.3720302,0.528821993,151.2132561
CENPF,-1.018351062,7.53040192,59.24433876,1.39E-14,7.85E-13,0.421057707,238.5388936,0.609542914,184.7476943
OTX2,-1.012284555,8.138974031,78.37234159,8.53E-19,7.09E-17,0.826378966,165.4454934,1.21436774,111.645574
AK4,-1.009878425,7.606588792,141.0296235,1.59E-32,3.71E-30,0.449430533,174.4664936,0.730866306,124.2052567
SHH,-1.008645813,7.273627391,83.17523818,7.51E-20,6.77E-18,0.068554763,671.0683794,0.253582487,348.2959198
LINC01224,-1.006855928,7.394057649,128.0002194,1.12E-29,2.21E-27,0.249107288,230.4170619,0.425548877,161.4538601
LAMA1,-0.996427209,7.493991338,151.0491125,1.02E-34,2.74E-32,0.315526322,195.7914312,0.584060638,135.779258
MAB21L2,-0.993172502,7.494144322,63.36446586,1.72E-15,1.05E-13,0.381212431,231.2243774,0.56444063,180.0141923
AL139246.5,-0.993070833,7.462897835,104.817245,1.34E-24,1.78E-22,0.320986493,221.163134,0.547397361,160.0437628
HLA-B,-0.986476323,7.585608202,189.0125736,5.22E-43,2.46E-40,0.405279974,165.5123117,0.747266715,115.5609939
SHOX2,-0.984704096,7.291975143,51.20325105,8.33E-13,3.91E-11,0.159343105,421.8647884,0.257039865,315.2781878
RRM2,-0.984442981,7.525746682,44.62176151,2.39E-11,9.34E-10,0.444261307,250.3010656,0.579760665,204.6890902
GLYCTK-AS1,-0.981156489,7.399357689,153.2960488,3.30E-35,9.21E-33,0.243822246,206.8949163,0.423169096,145.129065
ACTA2,-0.980466017,7.297596423,119.6735547,7.46E-28,1.29E-25,0.14053206,340.6704361,0.278654014,223.1466978
MGST1,-0.973373351,8.036033159,116.1655672,4.37E-27,7.03E-25,0.797427296,144.3303036,1.202212939,106.452257
PDPN,-0.970055553,7.876287126,143.4574155,4.67E-33,1.15E-30,0.7002955,145.55629,1.050045474,103.8262929
FOXP4,-0.964445562,7.869199948,233.6181175,9.69E-53,7.86E-50,0.710175483,125.1601076,1.145006276,82.94367016
ZFHX3,-0.962276056,8.53408856,260.679774,1.22E-58,1.22E-55,1.311784678,95.04561119,2.035699597,56.04899782
CDKN1A,-0.961492073,7.617253263,62.40198806,2.80E-15,1.69E-13,0.501285683,207.8410144,0.736190921,164.8208901
PMAIP1,-0.95070427,7.313208982,111.9871943,3.60E-26,5.38E-24,0.167154629,288.5029574,0.294977944,207.4718023
ACKR3,-0.950633298,7.775008434,136.4030652,1.63E-31,3.49E-29,0.607113369,150.9575105,0.944505534,111.5228842
DLK1,-0.950621963,7.296660777,73.71070509,9.04E-18,6.92E-16,0.180743571,404.5279802,0.294982759,275.4715167
SLC29A2,-0.950367863,7.404360187,123.7579944,9.52E-29,1.76E-26,0.245982144,219.9110774,0.441736923,154.8757829
NR6A1,-0.950206351,7.376278425,143.3775037,4.86E-33,1.19E-30,0.215797096,217.5221371,0.375974475,155.7529428
SP8,-0.948391571,7.289905301,110.3969048,8.02E-26,1.16E-23,0.1330004,344.8073709,0.259595961,233.8141084
FKBP5,-0.939624979,7.31977902,122.1668574,2.12E-28,3.82E-26,0.164007763,266.9720772,0.293164378,191.5297767
PHLDA3,-0.937961055,7.376046888,116.2068984,4.28E-27,6.91E-25,0.228318106,230.7574509,0.39938787,169.3250206
SDC1,-0.934258354,7.500593108,139.3233173,3.74E-32,8.48E-30,0.341614468,191.581512,0.590079457,131.5827872
