"","SYMBOL","GW26_GABAergic_neurons","GW23_GABAergic_neurons","GW26_Astrocytes","GW26_Neurons","GW16_Neurons","GW16_GABAergic_neurons","GW10_Neurons"
"1","A1BG",0.779467089838822,0.468292613031759,0.262848013380148,0.211275060553208,0.465582892109285,0.496410944870564,1.04695800610812
"2","A1BG-AS1",0.116426245819718,0.0732969667812336,0.121927208336488,0,0.0036829275255123,0.0379781134825909,0
"3","A1CF",0.0868590951977238,0.0381461360138076,0.136652852366478,0.12782231873168,0.0569487675605771,0.0929195257920678,0
"4","A2M",1.30555803536395,0.961857551327516,1.25086221833316,0.784650163589232,0.782696979504476,0.540116481686676,0.386599883345248
"5","A2M-AS1",0.188386886353208,0.171536800576053,0.171240926069472,0.291189581807259,0.118549475742469,0.0729316698005999,0.120538090177009
"6","A2ML1",0.103345288466295,0.161195027063656,0.424101068518286,0,0.0590420889014224,0,0.165958594763895
"7","A2MP1",0.0590244124051207,0.0556287126349977,0.0270614597532754,0,0.0627842217122479,0,0
"8","A3GALT2",0.00345663386010628,0,0,0,0.00717037077402929,0,0.0253657534425447
"9","A4GALT",0.0632491298753329,0.058463709169324,0.0286881733659937,0.0300191360149739,0.00245713281636621,0,0.0297369327565911
"10","A4GNT",0.015272515801987,0,0,0.0502283749826252,0,0,0
"11","AAAS",2.0995388052933,2.23405437326036,3.68960599732284,2.49668993319602,3.64325317452523,3.8126230667594,3.88193331651236
"12","AACS",1.92240344032052,1.16833806632974,2.71982129878955,0.769633402127161,2.26296794420922,1.17488697253431,3.00969664493517
"13","AACSP1",0.0287068648579223,0,0.156951894331462,0,0.0169699326643815,0,0
"14","AADAC",0.0114969125788799,0,0,0,0,0,0
"15","AADACL2",0.023996526640045,0,0,0,0.00117714867722481,0,0
"16","AADACL3",0,0,0,0,0,0,0
"17","AADACL4",0.00642426866421408,0,0,0,0,0,0.0458552304408497
"18","AADAT",1.75520127505118,0.909175913231123,1.88031045513264,1.25420332802998,1.60622830072753,1.66978754555556,1.27208510249806
"19","PRXL2C",0.109899487345598,0.129821894113743,0.151787371850092,0.0282527493788003,0.0583037887477747,0,0
"20","AAGAB",1.12624111316281,0.345524093816562,1.3602553326369,0.948193344369977,1.14044323743135,0.743426020962639,0.853979097141503
"21","AAK1",5.9118508363686,5.87970360208528,5.94649258530908,4.9600550397453,5.698775561222,6.07554164887977,7.00254541910102
"22","AAMDC",0.695618925675655,0.801394971114713,1.65652016725828,0.912422421414886,1.34553636178622,0.985366742329243,1.08137161154154
"23","AAMP",2.87111384998398,4.10122563307121,3.60375888314877,2.8028906535608,3.44540875580661,3.54060658159567,4.01760826666876
"24","AANAT",0.00533653274329233,0.0276394553315437,0,0,0.0340942623125133,0,0
"25","AAR2",1.76688226134868,1.42028709254536,1.72997940587056,1.81031931145996,2.20607445991154,1.32716594242958,1.67681124351303
"26","AARD",0.128289178904698,0.159067079314971,0.361783227711576,0.204537727095494,0.0892847644687225,0.101729613492949,0.0299183716658857
"27","AARS1",2.03048197343438,1.63099381183011,4.03018885562405,1.46349112636501,2.56298809189911,1.74289912805521,2.30801107391982
"28","AARS2",1.44866178563938,0.947396947369103,1.51492807438577,0.958091600247198,1.25721163735513,1.25044193376847,1.01706123251239
"29","AARSD1",0.00845564948711399,0,0,0,0,0,0.0638398811419635
"30","AASDH",1.56877550346616,1.56858858221699,2.55590424677886,1.67704144593586,1.84483180748261,1.96787643271361,1.93200515724684
"31","AASDHPPT",4.81588161355038,4.32881747198499,4.76519570461737,3.98325077417293,5.15116394502125,4.53743659915236,5.66670907635805
"32","AASS",2.63459792068726,1.2757933015564,5.53355065354955,1.76137777668508,3.33215031793336,2.3426125693734,3.77493054535701
"33",NA,1.06740706394586,0.909334339122113,1.64151124937117,1.38357390682236,2.00122051545018,1.88491081703315,2.43444169960343
"34","AATK",0.160875027861592,0.212485843444714,0.428933764646059,0.204228611062857,0.121877081740941,0,0.0942278757476977
"35","PVALEF",0,0,0,0,0,0,0
"36","ABAT",2.40185895848621,1.46325287632816,4.67635749658378,1.58578335547399,1.94664527283418,1.21683866257118,2.31522721942853
"37","ABCA1",1.2290736038195,1.18781372679413,1.03409329469346,1.61453970176473,2.85262464547636,1.84819068810006,1.92320427290376
"38","ABCA10",0.14018803242741,0.0567140271866922,0.0356113771646358,0.10055301811617,0.0383964877484374,0,0.0195663245537253
"39","ABCA11P",0.378511427887694,0.33303219823221,0.458359905153902,0.223746816222365,0.509049100874135,0.400514847210568,0.353953504306472
"40","ABCA12",0.108083529537766,0.27853737831645,0.318609671707202,0,0.133590511105526,0.105256097979038,0
"41","ABCA13",0.268973172515125,0.173497048409457,0.167067702663056,0.135381303350592,0.241230916277862,0.286848080124873,0.292288207808857
"42","ABCA17P",0.178238799053677,0.0339440534038235,0.222034479492911,0.0783214165789378,0.0584478336591076,0.105816098490064,0
"43","ABCA2",2.01095255223959,1.1497665093732,2.20772859115897,0.880694979641925,1.03541053644168,0.802990065858233,0.718442352250826
"44","ABCA3",2.80663469866831,1.22433292744648,3.43197713640065,1.70847822687571,1.96525895773113,1.71042486120719,1.44848354299147
"45","ABCA4",0.011657961510406,0,0,0,0,0,0
"46","ABCA5",1.74288820572946,1.36252192443613,2.02972040188989,0.609011324406163,0.424595530550383,0.300129412657572,0.246407214906032
"47","ABCA6",0.180612712672354,0.0783609182542366,0.261356642520876,0.0165767512916305,0.0484950370398298,0,0.0809490187393378
"48","ABCA7",0.216644742155385,0.161991966933175,0.258934810871205,0.114951185568294,0.334298287237274,0.112913150814825,0.78567676768614
"49","ABCA8",0.0115957539622493,0,0,0.0440882857760609,0.0187269139110541,0,0
"50","ABCA9",0.17560782590945,0.116532588862489,0.11947129881874,0.0862275074812229,0.146246719726121,0.0225523331145701,0
"51","ABCA9-AS1",0,0,0,0,0,0,0
"52","ABCB1",0.21720494951624,0.270083629926553,0.411343734948331,0.130770094160963,0.0594052557945001,0.0335219841550641,0.0383920745271617
"53","ABCB10",0.801294026774688,0.559949318219127,1.26653887741693,0.503995803790599,0.961468173380545,0.663716181932155,0.394202741076323
"54","ABCB11",0.0184292090604399,0,0,0,0.0123156367977926,0,0
"55","ABCB4",0.0117288924127137,0.184469152278334,0.247254777998978,0,0.0532894804297246,0.038573901941803,0.010752688172043
"56","ABCB5",0.141626728607413,0.0663496626829001,0.15292338321718,0.0209972654878416,0.117660083281927,0.027800343677015,0.14151688264711
"57","ABCB6",1.76346486688663,0.98259532512085,3.25651405847847,1.35225105529822,1.65074795656592,1.31506097041708,0.916416432216319
"58","ABCB7",0.726931999250972,0.672843399385365,0.902507433381968,0.610890273419802,0.866766870842183,0.613197357014671,1.02374913580069
"59","ABCB8",1.50671098150484,0.988338605873156,2.1131397392228,0.995856404549535,1.21424124690119,1.31408097662043,1.01382091210212
"60","ABCB9",0.593382997549981,0.397324082212527,0.611870143741061,0.428377097343569,0.514852867513807,0.14196932666079,0.453984253504912
"61","ABCC1",0.600596626435588,0.543338147058088,0.793832377344557,0.401361244916562,0.343692830416596,0.341028592756071,0.156639287631863
"62","ABCC10",0.860096057963799,0.767185281749112,1.75879902515658,0.669557709491007,0.91365691708323,0.504781414423113,0.652836706486321
"63","ABCC11",0.00964124393798131,0.0151279782499972,0.0524293664235186,0,0,0,0
"64","ABCC12",0.127503911853319,0.09883327856521,0.0946856465034074,0.0574167988506891,0.00945275835824437,0.0821354157950536,0.0570757820545331
"65","ABCC13",0.106885879132881,0.0229365221861896,0.048373625218466,0.0659842280782163,0.0344852672094977,0,0
"66","ABCC2",0.0483228782408026,0.0201997327496538,0,0,0.0249463944269216,0,0
"67","ABCC3",0.0301344937429786,0.0284391606769705,0,0,0,0,0
"68","ABCC4",0.204964579805413,0.10988244515256,0.727311400704196,0.164664715299418,0.265654213916281,0.215970616709059,0.221045635168053
"69","ABCC5",3.67380419186346,3.64006355501498,3.03304414958063,3.40468068818104,3.57624399068146,3.68788224411636,2.51445083091199
"70","ABCC5-AS1",0.0114017887657997,0.0224090553475892,0,0,0.0327228620168689,0.0535374295358508,0.0633840161026426
"71","ABCC6",0.0767912435551602,0.0915933774684702,0.22359599759821,0.0248927490860189,0.00405117954429602,0,0
"72","ABCC6P1",0.00689523775750091,0.0342701818827553,0,0,0,0,0
"73","ABCC6P2",0.00294202064058754,0,0.2308025514832,0,0.0164728008411449,0,0
"74","ABCC8",1.32793748956961,0.588523132223826,1.11725805346802,0.50883561067288,0.371623141479452,0.418846942672578,0.0838895318624863
"75","ABCC9",5.53036297957509,5.30711027125208,5.25635025328905,4.93603699470436,5.28433815004491,4.80596422278602,5.46862868681768
"76","ABCD1",0.414667400092714,0.185433912640099,0.486683230982512,0.191089901407117,0.200093184115957,0.393660575578342,0.319759656231873
"77","ABCD2",0.105123888681142,0.0724051444692612,0.610706811303184,0.196679120529963,0.335863733106699,0.359406688870687,0.390490974740858
"78","ABCD3",1.72630075062551,1.1197419967452,4.88606279764783,1.84433565489544,2.22967519953343,1.53445922739412,1.21051553391209
"79","ABCD4",1.80013020738612,1.99126593494215,3.98270099100626,1.90049289209396,2.75127036331054,2.56305089467978,1.83100005263346
"80","ABCE1",1.95049232387342,1.79877807315416,2.09496625522812,1.65164349441657,2.64648592060041,1.63527965735418,2.15326495080736
"81","ABCF1",2.85938824160698,3.27754723143175,4.03698211613595,2.43688947754925,3.77439755266766,2.38220008806352,4.86799159942655
"82","ABCF2",1.19920964390467,1.15852659367627,2.75640984004969,0.949897961159574,2.01528780797821,0.984782618151372,1.64687175242447
"83","ABCF3",1.48156524496721,1.14047848267625,2.36100102248693,0.780556546388745,1.51998108821029,1.83901326307181,1.47506875504676
"84","ABCG1",0.321618802660724,0.429162255261347,0.154967644865755,0.223057610168463,0.409853631459057,0.0786350096230909,0.300534141970378
"85","ABCG2",0.414497828649884,0.472531922363776,0.441680713409688,0.173098084378239,0.159992803386565,0.0398660850290574,0.0609175905073675
"86","ABCG4",0.323020913566265,0.162593902379483,0.174338011769633,0.0457080804140774,0.292202117544945,0.269703010657453,0.0739966831722744
"87","ABCG5",0.0832879492187458,0,0,0.0848145800059449,0.0284711849143514,0,0.0523217076833571
"88","ABCG8",0,0,0,0,0,0,0
"89","ABHD1",0.0198968114991875,0.00832701696060418,0.105522064937448,0,0.0561825451479112,0.108594585443158,0
"90","ABHD10",2.09371806204975,2.21338151247377,2.0161087575111,2.07224822310701,2.63061912387515,2.46037998109206,2.49693143894735
"91","ABHD11",0.807763856425345,0.749976297596827,1.47179203721843,0.70905089001075,1.38953246559872,0.740167379046588,0.915268645596063
"92","ABHD12",2.05129536220972,1.36093383943462,4.33208972091272,1.85544945783968,2.19497363104755,1.86763033325057,2.96086576467937
"93","ABHD12B",0.0280596035166728,0.0432360985337199,0.0286881733659937,0,0.0147814490976079,0.115493910362892,0
"94","ABHD13",1.33043629022156,1.01088600351623,2.21509214866773,0.797530979911336,1.42963691646878,1.32543594254762,1.09313088096599
"95","ABHD14A",2.84654311204872,1.71806691859247,4.21145265571614,2.65629291889628,3.36115460239717,2.55393034065083,3.64279896841955
"96","ABHD14A-ACY1",0,0,0,0,0,0,0
"97","ABHD14B",0.341744975699361,0.367791116130809,0.430385379198199,0.236005352241332,0.21181796048861,0.0923268121531927,0.274412403718108
"98","ABHD15",0.152951985320349,0.0880351048125139,0.267483959158708,0.118142160383893,0.103165510725988,0.100579922590207,0.158542336766871
"99","ABHD16A",1.95600657891526,2.00490954963267,2.80561790481801,2.55671002653642,3.70078736376049,2.86580474041292,4.23778786965806
